requirement,summary,phase,owner,status,implementation,tests,platforms
FR-MIG-02,Electron 基线停止新增产品功能；确需修复阻断性缺陷时只做最小改动，并同步更新 Tauri/Rust 的行为基线与测试。,Phase 0 through Phase 10,migration,in-progress,migration implementation in Phase 0 through Phase 10; Electron remains the behavioral baseline until replacement evidence is linked.,src/tests/legacy-session-migration.test.ts;src/tests/legacy-tool-adapter.test.ts;src/tests/legacy-tool-execution-pipeline.test.ts;src/tests/provider-service-migration.test.ts;src/tests/settings-subagent-model-migration.test.ts;src/tests/smoke.test.ts,windows-x64; macos; linux
FR-MIG-03,每个 Electron 模块、IPC 和测试必须在迁移追踪矩阵中标记为 `ported`、`replaced`、`retained` 或经批准的 `obsolete`，且附对应代码/测试证据。,Phase 0 through Phase 10,migration,in-progress,migration implementation in Phase 0 through Phase 10; Electron remains the behavioral baseline until replacement evidence is linked.,src/tests/legacy-session-migration.test.ts;src/tests/legacy-tool-adapter.test.ts;src/tests/legacy-tool-execution-pipeline.test.ts;src/tests/provider-service-migration.test.ts;src/tests/settings-subagent-model-migration.test.ts;src/tests/smoke.test.ts,windows-x64; macos; linux
FR-MIG-04,只有功能、数据、密钥、安全、性能、跨平台构建、安装升级、回退演练和测试全部通过后，才能批准 Electron 删除阶段。,Phase 0 through Phase 10,migration,planned,migration implementation in Phase 0 through Phase 10; Electron remains the behavioral baseline until replacement evidence is linked.,src/tests/legacy-session-migration.test.ts;src/tests/legacy-tool-adapter.test.ts;src/tests/legacy-tool-execution-pipeline.test.ts;src/tests/provider-service-migration.test.ts;src/tests/settings-subagent-model-migration.test.ts;src/tests/smoke.test.ts,windows-x64; macos; linux
FR-MIG-05,Electron 删除必须使用独立提交或独立 PR；删除前建立可恢复 tag/分支和安装包归档，删除后重新运行完整测试与发布构建。,Phase 0 through Phase 10,migration,planned,migration implementation in Phase 0 through Phase 10; Electron remains the behavioral baseline until replacement evidence is linked.,src/tests/legacy-session-migration.test.ts;src/tests/legacy-tool-adapter.test.ts;src/tests/legacy-tool-execution-pipeline.test.ts;src/tests/provider-service-migration.test.ts;src/tests/settings-subagent-model-migration.test.ts;src/tests/smoke.test.ts,windows-x64; macos; linux
FR-MIG-06,不得删除仍承载有效行为断言的 Electron 测试；只有等价 Rust、契约、前端或 E2E 测试已通过后才能删除原测试。,Phase 0 through Phase 10,migration,planned,migration implementation in Phase 0 through Phase 10; Electron remains the behavioral baseline until replacement evidence is linked.,src/tests/legacy-session-migration.test.ts;src/tests/legacy-tool-adapter.test.ts;src/tests/legacy-tool-execution-pipeline.test.ts;src/tests/provider-service-migration.test.ts;src/tests/settings-subagent-model-migration.test.ts;src/tests/smoke.test.ts,windows-x64; macos; linux
NFR-SEC-01,Tauri capabilities/permissions 采用最小权限，前端不能获得任意 Shell、文件系统或进程权限。,"Phase 2, Phase 3, Phase 5, Phase 7 and Phase 9",security,planned,"security implementation in Phase 2, Phase 3, Phase 5, Phase 7 and Phase 9; Electron remains the behavioral baseline until replacement evidence is linked.",src/tests/mcp-oauth-security.test.ts;src/tests/mcp-project-trust.test.ts;src/tests/mcp-safe-fetch.test.ts;src/tests/mcp-secret-expressions.test.ts;src/tests/mcp-secret-store.test.ts;src/tests/permission-approval-options.test.ts;src/tests/permission-approval-viewport.test.ts;src/tests/permission-audit-log.test.ts,windows-x64; macos; linux
NFR-SEC-02,高权限操作只通过窄化、校验后的 Rust command 暴露；不提供通用 `execute(command)` 给 UI。,"Phase 2, Phase 3, Phase 5, Phase 7 and Phase 9",security,planned,"security implementation in Phase 2, Phase 3, Phase 5, Phase 7 and Phase 9; Electron remains the behavioral baseline until replacement evidence is linked.",src/tests/mcp-oauth-security.test.ts;src/tests/mcp-project-trust.test.ts;src/tests/mcp-safe-fetch.test.ts;src/tests/mcp-secret-expressions.test.ts;src/tests/mcp-secret-store.test.ts;src/tests/permission-approval-options.test.ts;src/tests/permission-approval-viewport.test.ts;src/tests/permission-audit-log.test.ts,windows-x64; macos; linux
NFR-SEC-03,WebView CSP 禁止不必要的远程脚本、`eval` 和任意导航；远程内容以数据处理，不作为应用页面执行。,"Phase 2, Phase 3, Phase 5, Phase 7 and Phase 9",security,planned,"security implementation in Phase 2, Phase 3, Phase 5, Phase 7 and Phase 9; Electron remains the behavioral baseline until replacement evidence is linked.",src/tests/mcp-oauth-security.test.ts;src/tests/mcp-project-trust.test.ts;src/tests/mcp-safe-fetch.test.ts;src/tests/mcp-secret-expressions.test.ts;src/tests/mcp-secret-store.test.ts;src/tests/permission-approval-options.test.ts;src/tests/permission-approval-viewport.test.ts;src/tests/permission-audit-log.test.ts,windows-x64; macos; linux
NFR-SEC-04,日志、错误、事件、崩溃信息不得包含 API Key、OAuth Token、MCP 密钥或完整 Authorization Header。,"Phase 2, Phase 3, Phase 5, Phase 7 and Phase 9",security,planned,"security implementation in Phase 2, Phase 3, Phase 5, Phase 7 and Phase 9; Electron remains the behavioral baseline until replacement evidence is linked.",src/tests/mcp-oauth-security.test.ts;src/tests/mcp-project-trust.test.ts;src/tests/mcp-safe-fetch.test.ts;src/tests/mcp-secret-expressions.test.ts;src/tests/mcp-secret-store.test.ts;src/tests/permission-approval-options.test.ts;src/tests/permission-approval-viewport.test.ts;src/tests/permission-audit-log.test.ts,windows-x64; macos; linux
NFR-SEC-05,所有外部路径、URL、命令、MCP 配置和模型返回的工具参数均视为不可信输入。,"Phase 2, Phase 3, Phase 5, Phase 7 and Phase 9",security,planned,"security implementation in Phase 2, Phase 3, Phase 5, Phase 7 and Phase 9; Electron remains the behavioral baseline until replacement evidence is linked.",src/tests/mcp-oauth-security.test.ts;src/tests/mcp-project-trust.test.ts;src/tests/mcp-safe-fetch.test.ts;src/tests/mcp-secret-expressions.test.ts;src/tests/mcp-secret-store.test.ts;src/tests/permission-approval-options.test.ts;src/tests/permission-approval-viewport.test.ts;src/tests/permission-audit-log.test.ts,windows-x64; macos; linux
NFR-REL-01,长任务应支持取消和确定性收尾；退出清理设置总超时，不能无限阻塞应用关闭。,Phase 2 through Phase 9,runtime,planned,runtime implementation in Phase 2 through Phase 9; Electron remains the behavioral baseline until replacement evidence is linked.,src/tests/agent-collaboration-runtime.test.ts;src/tests/chat-retry.test.ts;src/tests/chat-runtime-ipc.test.ts;src/tests/chat-runtime-registry-steer.test.ts;src/tests/chat-runtime-registry.test.ts;src/tests/chat-runtime-status-slice.test.ts;src/tests/compaction-file-recovery.test.ts;src/tests/compaction-skill-recovery.test.ts,windows-x64; macos; linux
NFR-REL-02,后端错误使用稳定错误码、用户可读消息和仅用于诊断的上下文，不向前端泄露敏感内部信息。,Phase 2 through Phase 9,runtime,planned,runtime implementation in Phase 2 through Phase 9; Electron remains the behavioral baseline until replacement evidence is linked.,src/tests/agent-collaboration-runtime.test.ts;src/tests/chat-retry.test.ts;src/tests/chat-runtime-ipc.test.ts;src/tests/chat-runtime-registry-steer.test.ts;src/tests/chat-runtime-registry.test.ts;src/tests/chat-runtime-status-slice.test.ts;src/tests/compaction-file-recovery.test.ts;src/tests/compaction-skill-recovery.test.ts,windows-x64; macos; linux
NFR-REL-03,持久化和事件处理不得因单个会话失败导致其他会话状态损坏。,Phase 2 through Phase 9,runtime,planned,runtime implementation in Phase 2 through Phase 9; Electron remains the behavioral baseline until replacement evidence is linked.,src/tests/agent-collaboration-runtime.test.ts;src/tests/chat-retry.test.ts;src/tests/chat-runtime-ipc.test.ts;src/tests/chat-runtime-registry-steer.test.ts;src/tests/chat-runtime-registry.test.ts;src/tests/chat-runtime-status-slice.test.ts;src/tests/compaction-file-recovery.test.ts;src/tests/compaction-skill-recovery.test.ts,windows-x64; macos; linux
NFR-REL-04,新版本应能检测并隔离损坏的数据文件，保留原件并给出恢复路径。,Phase 2 through Phase 9,runtime,planned,runtime implementation in Phase 2 through Phase 9; Electron remains the behavioral baseline until replacement evidence is linked.,src/tests/agent-collaboration-runtime.test.ts;src/tests/chat-retry.test.ts;src/tests/chat-runtime-ipc.test.ts;src/tests/chat-runtime-registry-steer.test.ts;src/tests/chat-runtime-registry.test.ts;src/tests/chat-runtime-status-slice.test.ts;src/tests/compaction-file-recovery.test.ts;src/tests/compaction-skill-recovery.test.ts,windows-x64; macos; linux
NFR-PERF-01,在 Phase 0 记录 Electron 的冷启动、空闲内存、首屏、文件树、搜索、首 Token、PTY 吞吐和安装包体积基线。,Phase 0 and Phase 9,performance,planned,performance implementation in Phase 0 and Phase 9; Electron remains the behavioral baseline until replacement evidence is linked.,src/tests/chat-performance.test.ts;src/tests/grep-tool.test.ts;src/tests/project-analysis-service.test.ts;src/tests/spawn-runner.test.ts,windows-x64; macos; linux
NFR-PERF-02,Tauri 候选版在典型项目上的关键交互 P95 不得比基线退化超过 10%，除非有书面例外。,Phase 0 and Phase 9,performance,planned,performance implementation in Phase 0 and Phase 9; Electron remains the behavioral baseline until replacement evidence is linked.,src/tests/chat-performance.test.ts;src/tests/grep-tool.test.ts;src/tests/project-analysis-service.test.ts;src/tests/spawn-runner.test.ts,windows-x64; macos; linux
NFR-PERF-03,聊天和终端流采用有界上游队列、最大 4 KiB delta frame、累计 ACK 窗口和显式 cancel；Tauri Channel 只作为 wire transport，持续输出不能导致 WebView 内存无界增长，见 ADR 0005。,Phase 0 and Phase 9,performance,planned,performance implementation in Phase 0 and Phase 9; Electron remains the behavioral baseline until replacement evidence is linked.,src/tests/chat-performance.test.ts;src/tests/grep-tool.test.ts;src/tests/project-analysis-service.test.ts;src/tests/spawn-runner.test.ts,windows-x64; macos; linux
NFR-PERF-04,大文件、搜索结果、工具输出和 MCP 内容继续执行既有大小限制。,Phase 0 and Phase 9,performance,planned,performance implementation in Phase 0 and Phase 9; Electron remains the behavioral baseline until replacement evidence is linked.,src/tests/chat-performance.test.ts;src/tests/grep-tool.test.ts;src/tests/project-analysis-service.test.ts;src/tests/spawn-runner.test.ts,windows-x64; macos; linux
NFR-PORT-01,路径比较、大小写、符号链接、Shell、PTY、进程树、系统密钥环、全局快捷键和安装升级必须按平台测试。,"Phase 1, Phase 3, Phase 7 and Phase 9",platform,planned,"platform implementation in Phase 1, Phase 3, Phase 7 and Phase 9; Electron remains the behavioral baseline until replacement evidence is linked.",src/tests/bash-tool.test.ts;src/tests/mcp-network-transports.test.ts;src/tests/powershell-tool.test.ts;src/tests/right-workspace-tabs.test.ts;src/tests/workspace-permission-store.test.ts;src/tests/workspace-service.test.ts,windows-x64; macos; linux
NFR-PORT-02,Windows 中文路径与 PowerShell UTF-8 是必须通过的发布用例。,"Phase 1, Phase 3, Phase 7 and Phase 9",platform,planned,"platform implementation in Phase 1, Phase 3, Phase 7 and Phase 9; Electron remains the behavioral baseline until replacement evidence is linked.",src/tests/bash-tool.test.ts;src/tests/mcp-network-transports.test.ts;src/tests/powershell-tool.test.ts;src/tests/right-workspace-tabs.test.ts;src/tests/workspace-permission-store.test.ts;src/tests/workspace-service.test.ts,windows-x64; macos; linux
NFR-PORT-03,若选择 Windows 优先，macOS/Linux 未通过验收前不得宣称已完成对应平台迁移。,"Phase 1, Phase 3, Phase 7 and Phase 9",platform,planned,"platform implementation in Phase 1, Phase 3, Phase 7 and Phase 9; Electron remains the behavioral baseline until replacement evidence is linked.",src/tests/bash-tool.test.ts;src/tests/mcp-network-transports.test.ts;src/tests/powershell-tool.test.ts;src/tests/right-workspace-tabs.test.ts;src/tests/workspace-permission-store.test.ts;src/tests/workspace-service.test.ts,windows-x64; macos; linux
NFR-TEST-01,每项 FR/NFR 至少关联一种自动化或明确的人工验收。,Every phase,quality,planned,quality implementation in Every phase; Electron remains the behavioral baseline until replacement evidence is linked.,src/tests/context-contracts.test.ts;src/tests/permission-contracts.test.ts;src/tests/smoke.test.ts;src/tests/tool-runtime-v1-v2-baseline.test.ts;src/tests/tool-schema-baseline.test.ts,windows-x64; macos; linux
NFR-TEST-02,Rust 核心逻辑以单元/性质测试覆盖；文件、进程、网络、MCP 与持久化以集成测试覆盖；关键用户流程以桌面 E2E 覆盖。,Every phase,quality,planned,quality implementation in Every phase; Electron remains the behavioral baseline until replacement evidence is linked.,src/tests/context-contracts.test.ts;src/tests/permission-contracts.test.ts;src/tests/smoke.test.ts;src/tests/tool-runtime-v1-v2-baseline.test.ts;src/tests/tool-schema-baseline.test.ts,windows-x64; macos; linux
NFR-TEST-03,危险命令语料、Provider 协议样例、工具 Schema 和旧数据样例应转成不依赖 Electron 的 golden fixtures。,Every phase,quality,planned,quality implementation in Every phase; Electron remains the behavioral baseline until replacement evidence is linked.,src/tests/context-contracts.test.ts;src/tests/permission-contracts.test.ts;src/tests/smoke.test.ts;src/tests/tool-runtime-v1-v2-baseline.test.ts;src/tests/tool-schema-baseline.test.ts,windows-x64; macos; linux
NFR-TEST-04,所有平台的发布构建必须从干净环境产生，安装后执行资源和数据迁移 smoke test。,Every phase,quality,planned,quality implementation in Every phase; Electron remains the behavioral baseline until replacement evidence is linked.,src/tests/context-contracts.test.ts;src/tests/permission-contracts.test.ts;src/tests/smoke.test.ts;src/tests/tool-runtime-v1-v2-baseline.test.ts;src/tests/tool-schema-baseline.test.ts,windows-x64; macos; linux
NFR-MAINT-01,Tauri command 只做鉴权、反序列化、调用应用服务和错误映射，不包含领域流程。,Phase 1 through Phase 10,architecture,planned,architecture implementation in Phase 1 through Phase 10; Electron remains the behavioral baseline until replacement evidence is linked.,src/tests/chat-runtime-registry-steer.test.ts;src/tests/chat-runtime-registry.test.ts;src/tests/context-contracts.test.ts;src/tests/permission-contracts.test.ts;src/tests/tool-runtime-registry.test.ts;src/tests/tool-schema-baseline.test.ts,all-desktop
NFR-MAINT-02,领域模块不直接依赖 Tauri Window/AppHandle；通过 trait 注入事件、路径、凭据、进程等平台能力。,Phase 1 through Phase 10,architecture,planned,architecture implementation in Phase 1 through Phase 10; Electron remains the behavioral baseline until replacement evidence is linked.,src/tests/chat-runtime-registry-steer.test.ts;src/tests/chat-runtime-registry.test.ts;src/tests/context-contracts.test.ts;src/tests/permission-contracts.test.ts;src/tests/tool-runtime-registry.test.ts;src/tests/tool-schema-baseline.test.ts,all-desktop
NFR-MAINT-03,Rust 类型是后端契约源，TypeScript 类型通过生成或机器校验保持一致，禁止长期手工复制两套结构。,Phase 1 through Phase 10,architecture,planned,architecture implementation in Phase 1 through Phase 10; Electron remains the behavioral baseline until replacement evidence is linked.,src/tests/chat-runtime-registry-steer.test.ts;src/tests/chat-runtime-registry.test.ts;src/tests/context-contracts.test.ts;src/tests/permission-contracts.test.ts;src/tests/tool-runtime-registry.test.ts;src/tests/tool-schema-baseline.test.ts,all-desktop
NFR-MAINT-04,异步共享状态必须有明确所有权；禁止跨 `await` 持有粗粒度全局锁。,Phase 1 through Phase 10,architecture,planned,architecture implementation in Phase 1 through Phase 10; Electron remains the behavioral baseline until replacement evidence is linked.,src/tests/chat-runtime-registry-steer.test.ts;src/tests/chat-runtime-registry.test.ts;src/tests/context-contracts.test.ts;src/tests/permission-contracts.test.ts;src/tests/tool-runtime-registry.test.ts;src/tests/tool-schema-baseline.test.ts,all-desktop
